gene_id	log2FoldChange	pvalue
G1674	-1.033084649	0.019352541
G1675	0.517639606	0.019358107
G1676	0.52353176	0.019378627
G1677	0.837619894	0.019388653
G1678	-0.635776423	0.019412592
G1679	0.486011793	0.019428776
G1680	-2.77727103	0.019430412
G1681	1.356977568	0.019445647
G1682	0.42495833	0.019445911
G1683	-0.471451023	0.01944924
G1684	5.116375442	0.019449432
G1685	0.582439307	0.019482687
G1686	-0.443803044	0.019518669
G1687	-0.804938432	0.019523819
G1688	-0.690325269	0.019525238
G1689	-0.81100596	0.019561196
G1690	1.960925797	0.019619932
G1691	-0.432560074	0.019629597
G1692	-0.669675634	0.019636512
G1693	-0.377692496	0.01968748
G1694	0.57419516	0.019691959
G1695	2.211774456	0.019731034
G1696	-1.461991245	0.019741197
G1697	-0.540034222	0.019766166
G1698	0.418721896	0.019792197
G1699	0.938595526	0.019809604
G1700	0.536322695	0.019853604
G1701	0.538673157	0.019887707
G1702	1.366698071	0.019899575
G1703	-1.463787603	0.019905032
G1704	0.534868841	0.019971141
G1705	-0.616182	0.019991556
G1706	0.453723334	0.020028717
G1707	-0.527809177	0.020054463
G1708	1.483350549	0.020060036
G1709	0.559156779	0.020092061
G1710	-1.781321413	0.020093704
G1711	-0.900685961	0.020093726
G1712	3.244925249	0.020108054
G1713	1.174720656	0.020129915
G1714	-1.121216812	0.020143891
G1715	0.363666288	0.020189681
G1716	0.876864455	0.020235527
G1717	1.6906096	0.02023859
G1718	0.4498571	0.020266875
G1719	-0.503042229	0.020280364
G1720	0.954106766	0.02033036
G1721	-0.754071126	0.020352966
G1722	2.153539145	0.020355582
G1723	0.43513892	0.020368632
G1724	0.549052304	0.020370355
G1725	0.513460242	0.020428932
G1726	-0.514639822	0.020460393
G1727	0.497012059	0.020486881
G1728	0.445204933	0.020527565
G1729	4.730037944	0.020543708
G1730	-0.414746977	0.020566747
G1731	-1.440768729	0.020589084
G1732	-0.557441149	0.020590443
G1733	-0.679966564	0.020592731
G1734	-1.907573932	0.020605219
G1735	0.534977898	0.020628463
G1736	-1.113931579	0.020635407
G1737	0.505335271	0.020638287
G1738	0.48171461	0.020649563
G1739	-3.581730027	0.020668924
G1740	0.444653796	0.020672026
G1741	-1.932741524	0.020725744
G1742	-0.903937007	0.020745445
G1743	1.115396374	0.020773966
G1744	1.717010561	0.02078987
G1745	0.390144626	0.020813842
G1746	-0.530086083	0.020836668
G1747	-0.49489269	0.020844218
G1748	0.804544269	0.020854076
G1749	0.446343461	0.02086231
G1750	0.725764008	0.020883478
G1751	-0.784132243	0.020904554
G1752	1.011905692	0.020931872
G1753	-0.75461033	0.02095335
G1754	-0.4077863	0.020963176
G1755	0.440277433	0.020995463
G1756	-0.563512175	0.021031996
G1757	0.635532717	0.021059463
G1758	0.799753117	0.021084204
G1759	0.696008157	0.021110783
G1760	-0.801580898	0.021123686
G1761	-0.807278847	0.021152722
G1762	-0.44159378	0.021159091
G1763	0.614204501	0.021159757
G1764	-0.453245558	0.021161977
G1765	0.784527619	0.02123842
G1766	0.694834677	0.021273774
G1767	5.252185402	0.021283267
G1768	-0.715796252	0.021289691
G1769	0.414835503	0.021294236
G1770	-0.582689148	0.021350528
G1771	0.85434621	0.02136006
G1772	-4.278702828	0.021361493
G1773	0.536903415	0.021377868
G1774	0.679912502	0.021378751
G1775	0.391703655	0.021448738
G1776	0.951771635	0.021462372
G1777	0.511369748	0.021508577
G1778	-2.191427848	0.021553141
G1779	-0.646664611	0.021560985
G1780	0.442065892	0.02158976
G1781	-0.653221607	0.021591442
G1782	0.445902141	0.021591673
G1783	1.32216207	0.021632898
G1784	0.342179748	0.021651819
G1785	-1.039308411	0.021652607
G1786	0.446745171	0.02165771
G1787	-1.770199239	0.021659202
G1788	0.636806225	0.021671369
G1789	0.688699727	0.021719959
G1790	0.527897468	0.021748834
G1791	0.421762063	0.021755099
G1792	0.720779906	0.021764377
G1793	-0.697322808	0.021769848
G1794	0.417026508	0.021780549
G1795	0.49272431	0.021810719
G1796	-0.647923473	0.021822817
G1797	-0.844538138	0.021832189
G1798	1.91573122	0.021838727
G1799	-0.424817159	0.021850117
G1800	-0.617299192	0.021868398
G1801	0.452727944	0.021918878
G1802	0.584040856	0.021939121
G1803	0.440581089	0.021987758
G1804	-0.46687454	0.021992673
G1805	-0.638106856	0.022004243
G1806	4.411968549	0.022015986
G1807	0.495625533	0.02202064
G1808	-0.709016299	0.022119908
G1809	-0.806288227	0.022131842
G1810	0.912638549	0.022153859
G1811	0.716908863	0.022194262
G1812	-0.473779825	0.022198868
G1813	-0.572271984	0.022209169
G1814	-0.962565765	0.022345205
G1815	1.099132564	0.02235257
G1816	-0.391698113	0.022369556
G1817	0.90280998	0.022389689
G1818	-0.5035648	0.022393819
G1819	-0.60862115	0.022417217
G1820	-0.760306218	0.022423926
G1821	1.463254034	0.022433439
G1822	0.539292814	0.022464101
G1823	-4.149002048	0.022467749
G1824	0.540292569	0.02247655
G1825	-0.564506699	0.022513228
G1826	5.209413866	0.022516667
G1827	0.428273261	0.022553328
G1828	1.407081979	0.022581165
G1829	2.84266652	0.022616985
G1830	0.391486499	0.022627972
G1831	3.780863908	0.022670455
G1832	0.415865047	0.022686757
G1833	0.501884339	0.022724012
G1834	-0.438219221	0.022748031
G1835	0.43788152	0.022791078
G1836	-0.94154792	0.02282769
G1837	0.408943507	0.022832312
G1838	4.957045149	0.022833915
G1839	0.798821208	0.022847335
G1840	0.748962412	0.022849638
G1841	-1.40515699	0.022891791
G1842	1.947569129	0.022913033
G1843	0.431649066	0.022930161
G1844	1.571673975	0.022936224
G1845	0.439361414	0.022946484
G1846	0.535753198	0.02301817
G1847	0.519642466	0.023048154
G1848	-3.150041699	0.023086954
G1849	-0.528268912	0.023103104
G1850	1.192846228	0.023121911
G1851	1.096143864	0.023150576
G1852	-0.514068923	0.02317291
G1853	0.429008734	0.023187382
G1854	-0.620855527	0.023207157
G1855	-0.62592901	0.023236518
G1856	-0.44968411	0.023303256
G1857	0.457871256	0.023316534
G1858	-2.94677384	0.02332972
G1859	2.368918475	0.023334953
G1860	-0.937657722	0.023341069
G1861	-4.712572591	0.023412929
G1862	0.413305762	0.023444803
G1863	0.723814745	0.023449227
G1864	1.151636852	0.023475744
G1865	-5.071247672	0.023584196
G1866	-0.605029058	0.023597445
G1867	-0.524536773	0.023610699
G1868	0.952440654	0.023615039
G1869	0.42285041	0.02361785
G1870	0.942095841	0.023638225
G1871	0.441883174	0.023653962
G1872	1.246938693	0.023694339
G1873	2.236442523	0.023773389
G1874	-1.711849998	0.023781691
G1875	0.679732102	0.023795491
G1876	0.550699743	0.023825724
G1877	-0.509134499	0.023826054
G1878	-4.562606695	0.023839289
G1879	0.454611794	0.023846469
G1880	-0.780888313	0.023871164
G1881	-0.957432062	0.023878725
G1882	0.44131356	0.023882215
G1883	0.603339714	0.023888664
G1884	0.389668026	0.02390341
G1885	-0.568768823	0.023932746
G1886	5.253566037	0.023940107
G1887	-0.439064868	0.023947954
G1888	0.411401778	0.023950005
G1889	-0.53677308	0.023953441
G1890	-0.382947315	0.023988778
G1891	0.360007634	0.024074352
G1892	-0.38359296	0.024141896
G1893	-1.441254247	0.024161956
G1894	-0.735520353	0.024191208
G1895	-0.357645897	0.024222371
G1896	0.737733902	0.024253343
G1897	0.502799522	0.024272316
G1898	-0.507842295	0.024273476
G1899	0.515378418	0.024299026
G1900	0.918830973	0.024357699
G1901	-0.436739993	0.024361326
G1902	-0.637367232	0.024376442
G1903	0.533663884	0.024376639
G1904	0.378959044	0.024387015
G1905	2.234637348	0.024398344
G1906	-0.652840488	0.024413885
G1907	0.971633887	0.024414027
G1908	2.424990933	0.024418917
G1909	0.424533307	0.024429957
G1910	0.378749036	0.024500097
G1911	1.601901358	0.024500198
G1912	0.58356878	0.024521951
G1913	0.562090361	0.024522538
G1914	-0.358408917	0.024555406
G1915	0.81559052	0.024594738
G1916	0.514425751	0.024610048
G1917	5.565702084	0.024613356
G1918	0.729877045	0.024616107
G1919	4.838100077	0.024646071
G1920	-4.1263833	0.024650766
G1921	0.458205599	0.024652985
G1922	0.468868459	0.024668164
G1923	-0.487856523	0.02467067
G1924	-4.198516019	0.024683832
G1925	-0.430995917	0.024685801
G1926	0.4424767	0.024687433
G1927	0.415594762	0.024692363
G1928	-1.267686717	0.024699292
G1929	0.53430624	0.024711552
G1930	-2.581338051	0.024731101
G1931	0.36756765	0.024757408
G1932	0.54416757	0.024762628
G1933	-0.619323008	0.024789763
G1934	-0.576903439	0.024813475
G1935	-0.676738323	0.024820169
G1936	-1.494113327	0.024823157
G1937	0.598413448	0.02487512
G1938	-4.272506039	0.024885421
G1939	-0.391814162	0.024893908
G1940	0.737015896	0.024898929
G1941	-0.478027875	0.024910225
G1942	-0.442726229	0.024951798
G1943	0.46813288	0.024988573
G1944	0.413152103	0.025055825
G1945	2.199618452	0.025098701
G1946	0.540358964	0.025100387
G1947	0.444302885	0.02511005
G1948	0.382236711	0.025124584
G1949	-1.036909841	0.025134785
G1950	0.415245463	0.025159142
G1951	-0.593057602	0.025189111
G1952	-1.643982464	0.025193079
G1953	-0.543819411	0.025220065
G1954	-1.066645164	0.025226145
G1955	-0.51573002	0.025260793
G1956	0.638734876	0.02530115
G1957	0.619298191	0.025334026
G1958	0.471572091	0.025351335
G1959	-0.82255674	0.025369116
G1960	0.557336455	0.025387969
G1961	-5.008877352	0.025394485
G1962	0.677715338	0.025466294
G1963	0.421762126	0.025483519
G1964	0.442795136	0.025495357
G1965	-0.430295401	0.025536822
G1966	0.412025431	0.025538122
G1967	-0.498799863	0.025574
G1968	1.882576967	0.025575309
G1969	0.415782693	0.025582003
G1970	2.832426857	0.025585378
G1971	-0.626129102	0.025587681
G1972	0.545040517	0.025601617
G1973	-0.66335083	0.025621662
G1974	0.429058064	0.025636825
G1975	0.553996695	0.025648422
G1976	1.834411081	0.0257125
G1977	-0.999773286	0.02571404
G1978	1.719546007	0.025751517
G1979	0.645754096	0.025798129
G1980	1.109695035	0.025799063
G1981	0.583264042	0.025813327
G1982	1.071960502	0.025936813
G1983	-0.484502369	0.025943672
G1984	-3.233675857	0.025996418
G1985	-0.39330199	0.026008246
G1986	0.417627104	0.026023991
G1987	0.682673758	0.026052215
G1988	0.703273313	0.026068655
G1989	4.552422701	0.026071499
G1990	-0.352182361	0.026075284
G1991	-0.474735265	0.02608201
G1992	-0.558149677	0.026083432
G1993	0.63377032	0.026087423
G1994	0.3887094	0.026128608
G1995	0.732072663	0.026141965
G1996	-0.493839049	0.026142816
G1997	0.410943641	0.026143321
G1998	0.379937845	0.026179733
G1999	0.420724925	0.026182921
G2000	0.416982753	0.026185908
G2001	3.690474113	0.026228961
G2002	-0.439423179	0.026250151
G2003	-0.472976191	0.026261122
G2004	0.386551603	0.026275539
G2005	-1.505273035	0.026292154
G2006	0.567705632	0.026330556
G2007	-0.419631176	0.026343103
G2008	-0.714880521	0.02634879
G2009	0.547503076	0.026381076
G2010	-0.820845327	0.026383155
G2011	-0.926377449	0.026397811
G2012	-1.047374841	0.026418867
G2013	0.800063214	0.026436544
G2014	-0.531844341	0.026444435
G2015	0.659865038	0.026491307
G2016	-2.517228411	0.026497775
G2017	0.514310088	0.026505005
G2018	1.306931254	0.026509238
G2019	-0.641962871	0.026541594
G2020	1.338252846	0.026549095
G2021	0.38179006	0.026570931
G2022	0.435242243	0.026597922
G2023	-0.429810359	0.026603521
G2024	-0.503241437	0.026655503
G2025	0.672366616	0.026664004
G2026	-0.505818621	0.026667035
G2027	-0.988514078	0.026673498
G2028	0.568703126	0.026680138
G2029	-0.777679926	0.026704042
G2030	2.771352172	0.02670948
G2031	-1.042792455	0.026721886
G2032	-0.558848767	0.026730438
G2033	-0.468506379	0.02674791
G2034	-4.713654739	0.026759601
G2035	-0.974240448	0.026791922
G2036	-0.574311493	0.02680267
G2037	-0.81794825	0.026815625
G2038	-0.703218287	0.026815636
G2039	-1.411394923	0.026842445
G2040	0.695627317	0.026875275
G2041	-0.853447446	0.02687757
G2042	-0.476215096	0.026880027
G2043	1.670460501	0.026949505
G2044	0.395040126	0.026976506
G2045	4.408961815	0.026995973
G2046	-0.639768973	0.027024957
G2047	0.540554642	0.027025374
G2048	-0.582636661	0.027038871
G2049	0.375955093	0.027048281
G2050	2.265637665	0.027063309
G2051	0.442327458	0.027069206
G2052	-0.666882418	0.027195792
G2053	-1.113164515	0.027232594
G2054	5.122406287	0.027234581
G2055	-0.660591449	0.027241778
G2056	0.884157292	0.027255111
G2057	3.520147821	0.027268456
G2058	-0.462458325	0.027295245
G2059	-0.389308069	0.027330841
G2060	-1.43696413	0.027336573
G2061	-0.624059589	0.027377226
G2062	0.512763746	0.027386439
G2063	-0.461915739	0.02744897
G2064	0.95480057	0.027484042
G2065	-4.753956452	0.027493196
G2066	0.464192067	0.027500046
G2067	-0.510968404	0.027517464
G2068	1.105687004	0.02754191
G2069	-1.021752959	0.02755531
G2070	0.618093616	0.027571229
G2071	0.522510596	0.027607147
G2072	-0.624223377	0.027651732
G2073	0.67719287	0.027667289
G2074	0.400199931	0.027679487
G2075	-0.584400616	0.027681168
G2076	-0.736542709	0.027684981
G2077	0.398593886	0.027703242
G2078	-0.539155404	0.027775442
G2079	0.808076127	0.027777719
G2080	-0.427201087	0.027811033
G2081	-1.660332233	0.027840675
G2082	0.609805773	0.027877627
G2083	-1.003797293	0.027926719
G2084	-0.74528111	0.02795822
G2085	0.797593189	0.028014559
G2086	-1.330416971	0.028028073
G2087	-1.796114432	0.028037604
G2088	0.367899902	0.028038146
G2089	1.299469243	0.028038463
G2090	-0.829745463	0.028089604
G2091	1.274072879	0.028117586
G2092	-1.031843792	0.028119264
G2093	0.415655398	0.028153605
G2094	0.46748075	0.028175165
G2095	0.388541767	0.028193705
G2096	-0.554643988	0.02819755
G2097	0.682923063	0.028205815
G2098	0.446042742	0.02821198
G2099	0.381626402	0.02822922
G2100	0.944973917	0.028258333
G2101	-0.516848363	0.028313698
G2102	-0.33072134	0.028316933
G2103	0.64555492	0.028317427
G2104	-0.693642311	0.028353544
G2105	-0.583016776	0.028410401
G2106	0.427496211	0.028411463
G2107	0.700768191	0.02842709
G2108	0.38995578	0.028428449
G2109	0.509929337	0.028443187
G2110	0.411869619	0.028561719
G2111	-0.608074219	0.028582954
G2112	-1.009958316	0.028602185
G2113	4.178171716	0.028603005
G2114	-0.504930253	0.028674911
G2115	-0.820483326	0.028676232
G2116	0.955707324	0.028708219
G2117	0.410145357	0.028776781
G2118	1.105365116	0.028800702
G2119	2.671623992	0.028842345
G2120	0.385231535	0.028886969
G2121	-0.879516067	0.028896425
G2122	0.566803259	0.028946319
G2123	1.315522132	0.028949626
G2124	-0.65713969	0.028961373
G2125	0.429549623	0.028980165
G2126	-0.546124325	0.029013229
G2127	5.125964795	0.02902333
G2128	-0.806947467	0.029047288
G2129	-3.546624148	0.029084935
G2130	1.053454453	0.029149627
G2131	0.50738743	0.029215605
G2132	-0.670263094	0.029217625
G2133	-0.621346031	0.029233494
G2134	0.411025024	0.029284418
G2135	0.592021224	0.029318588
G2136	-0.775696043	0.029325862
G2137	0.376589097	0.029348357
G2138	-0.931061623	0.029366285
G2139	-0.449361634	0.029378868
G2140	-1.399338798	0.029390117
G2141	-0.847999908	0.029402654
G2142	-0.941681529	0.029513748
G2143	0.527742432	0.029528822
G2144	-1.04885751	0.029538571
G2145	0.537918882	0.029550273
G2146	1.05884407	0.029556133
G2147	0.889412535	0.029648496
G2148	-0.506336133	0.029704279
G2149	0.414997008	0.029753727
G2150	0.640108929	0.029764234
G2151	-0.620703561	0.029774052
G2152	0.394948827	0.029783862
G2153	0.469760519	0.029790006
G2154	0.428275904	0.029795731
G2155	0.586729	0.029799417
G2156	1.037953818	0.029799876
G2157	0.455825353	0.029826923
G2158	-0.977506763	0.029836515
G2159	-0.464594604	0.029841967
G2160	-0.461731052	0.029851373
G2161	1.792593708	0.02985662
G2162	0.562002986	0.029880182
G2163	0.426566257	0.029932756
G2164	0.507655901	0.029968219
G2165	0.77623697	0.029995078
G2166	-0.738701401	0.030056828
G2167	-1.032446144	0.030098951
G2168	-4.169653861	0.030107564
G2169	-3.537739332	0.030132627
G2170	0.391078517	0.030173469
G2171	-0.74221173	0.030174809
G2172	-0.556196401	0.030175666
G2173	0.746665672	0.03019806
G2174	1.626459081	0.030224262
G2175	0.53876283	0.030252676
G2176	1.278340705	0.030346047
G2177	0.49222445	0.030411624
G2178	0.865645024	0.030419531
G2179	-1.223610483	0.030442174
G2180	-0.335781112	0.030476949
G2181	0.316661528	0.030482297
G2182	0.377345565	0.030502661
G2183	0.429878085	0.030519596
G2184	-1.346489817	0.030553434
G2185	-0.716630226	0.030578382
G2186	2.21068437	0.030580037
G2187	0.523578418	0.030582919
G2188	0.484246799	0.030604789
G2189	-0.508401683	0.030624038
G2190	0.585255542	0.030628506
G2191	3.779036312	0.030633477
G2192	-0.365292371	0.030645232
G2193	-0.83394991	0.030662541
G2194	1.089405127	0.03068786
G2195	-0.766015096	0.030733938
G2196	-0.490154367	0.030884813
G2197	0.550864218	0.030905354
G2198	0.667156003	0.030927646
G2199	0.538382125	0.030933797
G2200	4.827577028	0.030951488
G2201	-0.359968307	0.030983266
G2202	-1.020563035	0.030989862
G2203	0.317621622	0.031033301
G2204	0.689175523	0.031100186
G2205	-0.888138554	0.031123662
G2206	1.023332039	0.031132378
G2207	0.473531433	0.031160919
G2208	-0.561038323	0.031161099
G2209	-0.434255441	0.03122341
G2210	-0.381249127	0.031226023
G2211	-0.547698819	0.031236018
G2212	0.369658107	0.031270489
G2213	1.058465899	0.031291616
G2214	-0.601824854	0.031298381
G2215	0.349993388	0.031330313
G2216	0.354954079	0.031373111
G2217	0.576065879	0.031426106
G2218	-0.498391523	0.031449896
G2219	0.564715749	0.031500271
G2220	0.440560877	0.031502399
G2221	-1.149616433	0.031504383
G2222	0.310842925	0.03150951
G2223	-0.840485128	0.03150983
G2224	0.67697656	0.031510447
G2225	-4.67354447	0.031551405
G2226	0.485208279	0.031551781
G2227	1.549526783	0.031566398
G2228	-0.719736141	0.031577831
G2229	-0.412079784	0.031615797
G2230	1.463416093	0.03162405
G2231	-0.514729786	0.031628827
G2232	0.833414669	0.031635437
G2233	-0.420916437	0.03164002
G2234	-0.459675792	0.031670025
G2235	0.876492479	0.031678413
G2236	-0.452642681	0.031684801
G2237	0.450256567	0.03170055
G2238	-0.347217743	0.031721409
G2239	7.742222479	0.031742959
G2240	0.427726885	0.031789576
G2241	1.846945575	0.031813148
G2242	-0.605886753	0.031818684
G2243	2.22652488	0.031821402
G2244	-0.686142037	0.031832875
G2245	0.347027442	0.031833062
G2246	2.260951645	0.031853149
G2247	-0.401874056	0.031873526
G2248	-0.4916766	0.031903231
G2249	0.724827597	0.03193056
G2250	0.872211567	0.031937275
G2251	0.39215616	0.031944887
G2252	0.533289515	0.031958059
G2253	0.65513606	0.03197158
G2254	-1.053180118	0.032020208
G2255	-0.437541738	0.032021325
G2256	0.333161577	0.032034279
G2257	-1.911196903	0.032049509
G2258	4.731835919	0.032058939
G2259	0.365484243	0.032063502
G2260	0.514493593	0.032071475
G2261	-0.718465415	0.032171246
G2262	4.729966918	0.032180578
G2263	-4.608129884	0.03218243
G2264	-0.729603575	0.032228215
G2265	1.056616408	0.032236412
G2266	0.397684844	0.032246564
G2267	-0.72494509	0.032250168
G2268	0.384923071	0.032252219
G2269	-0.791310796	0.032263698
G2270	0.627392686	0.032263812
G2271	-1.033137057	0.032264828
G2272	0.761884836	0.032385678
G2273	-0.48830133	0.032415641
G2274	-0.540414026	0.032424882
G2275	5.07278183	0.032456659
G2276	0.422169847	0.032468603
G2277	1.593472265	0.032537721
G2278	-0.875994243	0.032554259
G2279	0.503949117	0.032601231
G2280	5.037624516	0.032603897
G2281	0.351561508	0.03261113
G2282	-0.537631658	0.032653271
G2283	-1.583008419	0.032669681
G2284	-0.646039491	0.032714991
G2285	0.446712199	0.032790452
G2286	0.520637496	0.032804549
G2287	0.480578544	0.032824739
G2288	0.874641886	0.032840582
G2289	-4.692202323	0.032847573
G2290	4.182340851	0.032873272
G2291	1.186941333	0.032878068
G2292	2.291142499	0.032889122
G2293	1.005059277	0.032911361
G2294	0.455183518	0.032944262
G2295	-0.692962728	0.033018448
G2296	0.416138603	0.03303258
G2297	-0.39530433	0.033040401
G2298	-4.747001392	0.033126449
G2299	0.484024089	0.033163563
G2300	0.352273793	0.033176677
G2301	-4.665962987	0.033200624
G2302	0.434972599	0.033202448
G2303	-0.51200765	0.033207254
G2304	1.987433848	0.033223978
G2305	0.38475768	0.033248421
G2306	-0.517317853	0.033320566
G2307	0.490437046	0.033335321
G2308	-2.563312244	0.033357394
G2309	-0.822624132	0.033381743
G2310	0.691101974	0.033452073
G2311	-0.448059114	0.033550452
G2312	0.37514994	0.033570811
G2313	-0.47588623	0.033600714
G2314	-0.463743322	0.033609973
G2315	-1.240399075	0.033628103
G2316	1.434039732	0.033641583
G2317	0.573894885	0.033691662
G2318	0.408565293	0.033702543
G2319	-1.738112126	0.033711571
G2320	5.052285286	0.033769394
G2321	3.566892418	0.033772603
G2322	-0.481512803	0.033790978
G2323	4.730949391	0.033816095
G2324	0.350780675	0.033846865
G2325	-0.50736359	0.033856196
G2326	-0.786162019	0.033878769
G2327	0.437586628	0.033904993
G2328	-0.625610316	0.033923471
G2329	0.352960365	0.033937288
G2330	0.545503856	0.033945555
G2331	0.615651385	0.033954851
G2332	1.391099626	0.03395645
G2333	-0.518947379	0.034031336
G2334	0.317079007	0.034049853
G2335	-1.137939684	0.03405795
G2336	-0.645735724	0.034075497
G2337	-4.587458388	0.034121927
G2338	0.550975242	0.034166348
G2339	-0.997612265	0.034210262
G2340	-0.402241064	0.034236526
G2341	2.98156169	0.034236761
G2342	0.431189557	0.03425005
G2343	-0.357911657	0.034255744
G2344	0.537389424	0.03427741
G2345	-0.449877806	0.034285124
G2346	0.42427197	0.034294651
G2347	-0.528448266	0.034318319
G2348	-0.855868842	0.034327836
G2349	0.433938688	0.034329351
G2350	-0.720933785	0.034352165
G2351	-0.930398023	0.034377704
G2352	0.371999249	0.034399238
G2353	0.720481799	0.034422986
G2354	-1.207904799	0.034437145
G2355	-0.525730656	0.03443908
G2356	0.551410631	0.034443629
G2357	-1.003851392	0.034454814
G2358	0.725255217	0.034497654
G2359	0.399341991	0.034580425
G2360	0.488116597	0.034590827
G2361	0.38005867	0.034603319
G2362	1.114508652	0.034624873
G2363	-0.712345638	0.034626048
G2364	-0.437385839	0.034632794
G2365	-0.995333754	0.034642352
G2366	0.337885976	0.034671151
G2367	0.805770306	0.034688154
G2368	-0.402457717	0.034720397
G2369	-0.319126849	0.034739135
G2370	-0.570123513	0.034747113
G2371	-2.806447558	0.034752063
G2372	-1.055940403	0.034773368
G2373	-0.800014271	0.034791113
G2374	-0.691427783	0.034820485
G2375	0.813089333	0.034835934
G2376	-4.86564348	0.034850613
G2377	0.526418531	0.034928566
G2378	0.752933706	0.034932657
G2379	0.664537483	0.034946174
G2380	0.540793103	0.034948508
G2381	-0.496211757	0.034982463
G2382	-0.875116377	0.034985838
G2383	0.33534258	0.035002207
G2384	-0.616653409	0.035018385
G2385	-4.582622816	0.035027279
G2386	-0.960920494	0.035060285
G2387	-4.001904316	0.035061469
G2388	0.380699897	0.035129651
G2389	0.836499358	0.035182331
G2390	0.460135049	0.035196026
G2391	0.857777748	0.035209463
G2392	0.827310223	0.035234669
G2393	-1.252730293	0.035250605
G2394	1.704280292	0.03526724
G2395	-1.419728658	0.03527426
G2396	-0.597652972	0.035285701
G2397	0.43932907	0.035308151
G2398	0.923415143	0.035318717
G2399	-0.551321456	0.035374462
G2400	4.453326857	0.035377883
G2401	0.880992897	0.035387357
G2402	-0.399210841	0.035395118
G2403	0.46694854	0.035419668
G2404	0.673990103	0.035423926
G2405	0.561109635	0.035427673
G2406	3.933624232	0.035433152
G2407	-0.688808886	0.035444797
G2408	0.444844381	0.035494877
G2409	0.47212716	0.035494949
G2410	0.387212649	0.035523085
G2411	0.432355849	0.0355607
G2412	-0.398807709	0.035620528
G2413	0.436008689	0.035650514
G2414	-0.39320064	0.035656009
G2415	0.42646528	0.035663501
G2416	-0.506873808	0.03567551
G2417	-1.206665415	0.035686852
G2418	0.436889533	0.03572222
G2419	0.510269874	0.035745917
G2420	0.421756433	0.035881565
G2421	0.453814758	0.035904441
G2422	-0.366071939	0.035944935
G2423	0.369362115	0.035988486
G2424	-0.576724546	0.035997371
G2425	-1.995152275	0.036099363
G2426	0.641665158	0.036108474
G2427	-0.812787221	0.03613586
G2428	-1.10282229	0.036171604
G2429	-0.675732389	0.036253794
G2430	0.516880054	0.036339147
G2431	-1.060866973	0.036354486
G2432	0.416436157	0.03636371
G2433	-0.468964341	0.036389757
G2434	0.546772041	0.036389901
G2435	-0.789710576	0.036390457
G2436	-0.443356878	0.036412688
G2437	1.951480046	0.036425628
G2438	0.817313891	0.036445155
G2439	0.376238159	0.036456154
G2440	-0.687736064	0.036476706
G2441	0.847966224	0.036519085
G2442	0.443967444	0.036566776
G2443	-0.55997654	0.036581756
G2444	1.057923362	0.036611453
G2445	0.354783588	0.036655342
G2446	0.400483802	0.036674768
G2447	0.463946283	0.03668975
G2448	-0.409168416	0.036705305
G2449	1.069316097	0.036730892
G2450	-1.238380386	0.036777077
G2451	1.173597012	0.036782711
G2452	-0.417031696	0.036877116
G2453	0.599563182	0.036931475
G2454	0.387140431	0.036937001
G2455	2.606898686	0.036940703
G2456	2.298229491	0.03697548
G2457	-1.068300738	0.037006664
G2458	0.558280593	0.037025559
G2459	0.57818541	0.037044581
G2460	0.863081264	0.037045848
G2461	-0.41885336	0.037050313
G2462	0.373298821	0.037065735
G2463	-0.533159891	0.037098467
G2464	0.395798915	0.037105172
G2465	0.599713488	0.037105646
G2466	-0.68640086	0.037106014
G2467	0.849102727	0.037121897
G2468	0.532605904	0.037123362
G2469	0.561001944	0.037157946
G2470	-0.606304203	0.037185956
G2471	0.369165568	0.037186442
G2472	-0.537379357	0.037199898
G2473	-0.370844793	0.037289102
G2474	-0.442165097	0.037313433
G2475	-0.461248423	0.037337535
G2476	-1.069082447	0.037342161
G2477	0.85402627	0.037378552
G2478	-0.908843216	0.037415965
G2479	1.359533044	0.037425511
G2480	-0.71856979	0.037434563
G2481	0.53555769	0.037441813
G2482	0.386299941	0.0374454
G2483	0.4552768	0.037451852
G2484	1.082400934	0.037461562
G2485	0.398754426	0.03750246
G2486	-4.550601131	0.037507023
G2487	-1.1294601	0.037510579
G2488	0.49480418	0.037522295
G2489	-0.417148948	0.037523802
G2490	-0.497712195	0.037530624
G2491	0.398086848	0.037545422
G2492	0.469257799	0.037567475
G2493	2.295605046	0.037568311
G2494	-0.377362149	0.037583588
G2495	0.354807314	0.037631179
G2496	2.330727068	0.037660676
G2497	0.596085953	0.037682718
G2498	0.539174317	0.037718475
G2499	0.523771607	0.037726245
G2500	5.343231743	0.037730524
G2501	-0.492303726	0.037734195
G2502	-0.439493269	0.037742452
G2503	-0.630683378	0.037784158
G2504	-0.80081123	0.037814573
G2505	-1.241988765	0.037819141
G2506	4.960549427	0.037819301
G2507	1.089702152	0.03783197
G2508	0.448814918	0.037843208
G2509	0.466966634	0.037872626
G2510	-0.491905949	0.037923553
G2511	0.394115481	0.037934377
G2512	-4.81965774	0.037971366
G2513	1.973768442	0.037989689
G2514	-1.233193568	0.038006122
G2515	0.552548221	0.038023809
G2516	-0.548975888	0.038046139
G2517	0.358205124	0.038071364
G2518	-4.530703509	0.038083752
G2519	-4.507127988	0.038172439
G2520	0.389834548	0.038178127
G2521	-0.438426535	0.038186739
G2522	1.877442729	0.038206372
G2523	-0.578790664	0.038220378
