gene_id	log2FoldChange	pvalue
G198	0.690359173	0.000178006
G199	-0.953970348	0.000181509
G200	1.509408597	0.000184236
G201	-0.799192677	0.000184611
G202	1.295233769	0.0001874
G203	-0.711182228	0.000189242
G204	4.604700836	0.000190741
G205	1.025324055	0.000195212
G206	-2.445336334	0.000195295
G207	-1.470336773	0.000197888
G208	0.684249933	0.000199026
G209	0.805396593	0.000202906
G210	0.817049011	0.000204621
G211	0.711677808	0.000205903
G212	1.186599117	0.00020601
G213	2.357402656	0.000206764
G214	0.750742012	0.000207148
G215	-1.184284089	0.000208271
G216	-1.323484283	0.000213827
G217	-0.795546774	0.000216493
G218	0.710124953	0.000219914
G219	0.754708435	0.000223187
G220	1.221392467	0.000225104
G221	0.732754032	0.000231168
G222	-0.779311519	0.000231763
G223	-0.950883583	0.000232932
G224	-0.918175704	0.000234342
G225	1.423633204	0.000234741
G226	-1.135537139	0.000235793
G227	0.802291038	0.000239568
G228	0.630061666	0.000240675
G229	0.841500118	0.000241424
G230	-1.46293225	0.000244222
G231	-0.808183897	0.000245432
G232	0.964915205	0.000246382
G233	-1.220706205	0.000248414
G234	0.773767373	0.000251796
G235	1.209092492	0.000258787
G236	-0.808402724	0.000267905
G237	0.840153401	0.00027708
G238	-1.493960885	0.000277366
G239	-1.158087791	0.000277958
G240	1.794700137	0.000278344
G241	0.635504258	0.000280141
G242	1.012261292	0.000288543
G243	0.796425157	0.000297965
G244	-1.720297173	0.000299032
G245	0.832077165	0.000301281
G246	-1.7333632	0.000301308
G247	1.506748926	0.000302201
G248	0.718010694	0.000303779
G249	-1.493904795	0.000311577
G250	-0.902009164	0.000311803
G251	-0.76448299	0.000324367
G252	0.789900068	0.000337452
G253	-0.796104367	0.000342189
G254	-0.667498073	0.000343153
G255	0.607465736	0.000353512
G256	-3.024067548	0.00036122
G257	0.834326028	0.000386838
G258	0.850246273	0.000388408
G259	0.684831129	0.000388451
G260	-1.078988632	0.000390909
G261	1.5565573	0.000393845
G262	-2.71016163	0.000394283
G263	1.153875432	0.000394374
G264	-1.003202719	0.000401057
G265	1.374778794	0.000413288
G266	1.618554644	0.000414088
G267	-0.786929338	0.000417614
G268	0.640984975	0.000421698
G269	0.729782944	0.000422609
G270	0.621781108	0.000427138
G271	0.961352609	0.0004278
G272	0.704592083	0.000427998
G273	1.353630923	0.000430635
G274	1.264897045	0.000432855
G275	0.575272337	0.000436911
G276	-1.442352057	0.000441811
G277	0.89972071	0.000442074
G278	0.707814649	0.000447377
G279	2.732750308	0.000447639
G280	0.519922326	0.000449761
G281	0.610524071	0.000457271
G282	1.196303407	0.000457838
G283	-1.476794254	0.000460537
G284	2.301066944	0.000464312
G285	-0.816566007	0.000467819
G286	0.981671818	0.00046934
G287	1.830204553	0.000471462
G288	-1.124999119	0.000479465
G289	0.596852875	0.000481005
G290	1.522139058	0.00048363
G291	-0.697374352	0.000496032
G292	1.324823829	0.000500754
G293	-2.012255567	0.000501739
G294	2.157883831	0.000508818
G295	-0.875225831	0.000508888
G296	-2.517580749	0.000509132
G297	-0.718461652	0.00051047
G298	0.736207786	0.000513385
G299	0.713412238	0.000520844
G300	1.201241004	0.000536242
G301	0.580936659	0.000540565
G302	1.313639025	0.000551093
G303	5.98944066	0.000553942
G304	0.809971203	0.000556979
G305	-1.1435083	0.000563228
G306	0.763149386	0.000567872
G307	0.806600568	0.000576843
G308	2.7238737	0.000586932
G309	-1.199093819	0.000597321
G310	-1.048776801	0.000608894
G311	-0.910796467	0.000617761
G312	0.691139973	0.000619142
G313	2.580513311	0.000620765
G314	-0.937037393	0.000628715
G315	0.898394463	0.000637934
G316	6.004691342	0.000646752
G317	2.343605257	0.000647636
G318	2.592234685	0.000653517
G319	-0.608182359	0.000658179
G320	-0.657079885	0.000661066
G321	-1.314070793	0.000661654
G322	-1.006175336	0.000662172
G323	-1.020582659	0.00066426
G324	0.54531118	0.000688254
G325	1.105450593	0.000688268
G326	-1.559879121	0.000689328
G327	1.027437487	0.000689541
G328	-1.027942327	0.000702792
G329	1.200463264	0.000703062
G330	-0.709517405	0.000713693
G331	-1.204959313	0.000716374
G332	5.939333621	0.00072054
G333	0.597390179	0.000733204
G334	-0.760588332	0.000736284
G335	0.642764167	0.000747537
G336	4.096681488	0.000749096
G337	2.32146199	0.000753798
G338	4.968525751	0.000754327
G339	-1.269863464	0.000761473
G340	-0.896380967	0.000764159
G341	0.66213875	0.000780867
G342	-0.772360783	0.000782571
G343	5.416301878	0.000783175
G344	0.789884261	0.000791293
G345	-5.680939057	0.000805166
G346	-0.838548457	0.00081047
G347	-0.672127383	0.000825651
G348	1.298172774	0.000829141
G349	0.873162452	0.00083772
G350	-0.788999841	0.000848202
G351	3.852064501	0.000858091
G352	-0.638158984	0.000859795
G353	-0.751978864	0.000866721
G354	1.290676216	0.000872825
G355	-0.867842847	0.000873018
G356	1.297416029	0.000878664
G357	1.139249374	0.000893838
G358	0.600399213	0.000894906
G359	-0.66758606	0.000896042
G360	0.769780693	0.000902894
G361	1.064374057	0.000904809
G362	-0.769229127	0.000913163
G363	-0.825923008	0.000914734
G364	-0.753191509	0.000915279
G365	0.625413443	0.000916725
G366	-5.660525427	0.000918882
G367	-1.232604217	0.000927101
G368	3.618456897	0.000937976
G369	-1.074432934	0.000940244
G370	2.968583674	0.000954802
G371	0.721572216	0.000959852
G372	0.764622494	0.000961248
G373	1.066878137	0.000962082
G374	0.60208731	0.000974279
G375	1.388200872	0.000991788
G376	0.709665396	0.00099218
G377	0.975148412	0.000998547
G378	0.969615358	0.001004978
G379	-0.745714211	0.001007057
G380	0.920300593	0.00101123
G381	3.39124847	0.001017839
G382	0.665834091	0.001025803
G383	2.877226549	0.001026751
G384	-0.832053092	0.001028565
G385	-0.836166648	0.001034296
G386	-0.777672881	0.001041795
G387	-4.51784378	0.001049841
G388	-0.818363918	0.001050391
G389	-1.394496772	0.001050945
G390	0.948066986	0.001051744
G391	0.812640632	0.001051916
G392	0.645016715	0.001057283
G393	5.838097695	0.001076487
G394	0.787559782	0.001079639
G395	0.620201727	0.001088581
G396	0.818207968	0.001093092
